time_s,heart_rate_bpm,spo2_pct,resp_rate_bpm,body_temp_c,accel_g,fall_detected,alert_spo2_low,alert_hr_abnormal,alert_resp_abnormal,alert_fever,alert_fall
0.0,79.1,97.3,14.9,36.77,1.04,False,False,False,False,False,False
1.0,75.9,96.2,16.7,36.72,1.01,False,False,False,False,False,False
2.0,76.4,97.3,17.3,36.72,1.02,False,False,False,False,False,False
3.0,75.8,97.0,16.7,36.75,0.94,False,False,False,False,False,False
4.0,76.0,96.2,15.6,36.86,0.93,False,False,False,False,False,False
5.0,74.5,97.2,16.8,36.78,0.94,False,False,False,False,False,False
6.0,73.7,96.7,15.2,36.82,1.02,False,False,False,False,False,False
7.0,75.9,98.1,15.2,36.82,1.0,False,False,False,False,False,False
8.0,72.0,97.1,17.7,36.78,0.99,False,False,False,False,False,False
9.0,76.1,98.2,15.0,36.73,1.06,False,False,False,False,False,False
10.0,75.8,97.4,15.4,36.71,1.08,False,False,False,False,False,False
11.0,74.1,96.6,15.8,36.76,0.91,False,False,False,False,False,False
12.0,75.3,97.2,16.1,36.8,0.89,False,False,False,False,False,False
13.0,73.9,97.1,17.1,36.66,0.98,False,False,False,False,False,False
14.0,73.6,97.4,16.6,36.72,1.02,False,False,False,False,False,False
15.0,76.4,96.2,17.1,36.9,1.03,False,False,False,False,False,False
16.0,75.3,96.9,16.6,36.72,0.99,False,False,False,False,False,False
17.0,78.0,96.7,16.2,36.81,0.89,False,False,False,False,False,False
18.0,78.9,97.1,14.9,36.66,1.09,False,False,False,False,False,False
19.0,76.0,97.1,16.1,36.93,0.97,False,False,False,False,False,False
20.0,75.5,97.2,15.4,36.94,1.02,False,False,False,False,False,False
21.0,78.0,96.9,15.8,36.83,1.0,False,False,False,False,False,False
22.0,73.4,96.1,16.4,36.81,0.98,False,False,False,False,False,False
23.0,74.8,96.2,18.7,36.85,1.06,False,False,False,False,False,False
24.0,76.8,95.2,18.1,36.79,1.06,False,False,False,False,False,False
25.0,78.1,94.8,18.5,36.73,0.93,False,False,False,False,False,False
26.0,78.3,94.8,17.1,36.89,0.87,False,False,False,False,False,False
27.0,78.8,94.3,18.3,36.73,0.97,False,False,False,False,False,False
28.0,80.2,93.3,18.5,36.84,1.02,False,False,False,False,False,False
29.0,79.6,94.5,19.2,36.93,1.01,False,False,False,False,False,False
30.0,81.0,92.5,20.0,36.68,1.02,False,False,False,False,False,False
31.0,81.0,91.8,19.6,36.79,1.06,False,False,False,False,False,False
32.0,80.3,92.8,20.1,36.8,1.05,False,False,False,False,False,False
33.0,80.4,92.1,20.9,36.58,0.98,False,False,False,False,False,False
34.0,80.6,91.6,21.0,36.75,0.93,False,False,False,False,False,False
35.0,83.2,90.7,21.6,36.81,0.96,False,False,False,False,False,False
36.0,82.8,89.9,19.1,36.67,1.06,False,True,False,False,False,False
37.0,86.4,90.1,20.9,36.9,0.96,False,False,False,False,False,False
38.0,84.4,89.8,21.9,36.97,1.06,False,True,False,False,False,False
39.0,87.5,89.4,21.5,36.95,1.03,False,True,False,False,False,False
40.0,83.5,89.0,21.8,37.01,1.11,False,True,False,False,False,False
41.0,85.8,89.2,20.9,36.77,1.0,False,True,False,False,False,False
42.0,84.3,87.7,23.9,36.92,0.88,False,True,False,False,False,False
43.0,86.5,86.8,23.4,36.83,1.1,False,True,False,False,False,False
44.0,88.5,87.2,23.3,36.68,1.0,False,True,False,False,False,False
45.0,87.3,86.2,25.7,36.71,0.99,False,True,False,True,False,False
46.0,88.0,85.2,24.3,36.76,1.07,False,True,False,True,False,False
47.0,89.5,87.0,25.7,36.62,0.98,False,True,False,True,False,False
48.0,92.2,85.9,25.5,36.8,0.95,False,True,False,True,False,False
49.0,88.6,85.1,26.2,36.8,0.98,False,True,False,True,False,False
50.0,88.9,84.8,24.4,37.09,1.03,False,True,False,True,False,False
51.0,89.5,85.9,25.9,36.83,0.98,False,True,False,True,False,False
52.0,90.2,85.6,25.6,36.94,1.09,False,True,False,True,False,False
53.0,89.3,85.4,26.5,36.86,0.95,False,True,False,True,False,False
54.0,90.8,85.2,28.2,36.73,0.96,False,True,False,True,False,False
55.0,91.5,84.5,27.2,36.7,0.93,False,True,False,True,False,False
56.0,88.6,84.9,27.0,36.74,1.1,False,True,False,True,False,False
57.0,92.8,84.5,24.8,36.77,1.09,False,True,False,True,False,False
58.0,88.3,86.0,26.2,36.92,0.98,False,True,False,True,False,False
59.0,90.9,84.5,25.8,36.93,0.96,False,True,False,True,False,False
60.0,90.6,84.3,24.9,36.76,0.91,False,True,False,True,False,False
61.0,93.1,84.2,26.3,36.78,1.07,False,True,False,True,False,False
62.0,89.4,85.4,26.8,36.72,1.03,False,True,False,True,False,False
63.0,90.3,84.2,26.3,36.78,1.03,False,True,False,True,False,False
64.0,91.0,85.3,26.7,36.83,0.98,False,True,False,True,False,False
65.0,91.6,85.1,27.1,36.74,1.06,False,True,False,True,False,False
66.0,90.0,84.9,25.7,36.81,1.0,False,True,False,True,False,False
67.0,92.9,86.2,27.6,36.74,0.94,False,True,False,True,False,False
68.0,88.5,84.7,25.3,36.94,0.95,False,True,False,True,False,False
