time_s,heart_rate_bpm,spo2_pct,resp_rate_bpm,body_temp_c,accel_g,fall_detected,alert_spo2_low,alert_hr_abnormal,alert_resp_abnormal,alert_fever,alert_fall
0.0,77.5,96.7,17.1,36.8,1.01,False,False,False,False,False,False
1.0,76.4,97.4,15.4,36.74,1.0,False,False,False,False,False,False
2.0,76.6,97.2,15.8,36.73,0.98,False,False,False,False,False,False
3.0,73.6,96.6,15.7,36.97,0.96,False,False,False,False,False,False
4.0,76.9,97.4,15.1,36.75,1.04,False,False,False,False,False,False
5.0,75.5,97.7,17.0,36.95,0.99,False,False,False,False,False,False
6.0,74.2,97.2,16.8,36.75,1.0,False,False,False,False,False,False
7.0,73.6,97.3,15.8,36.81,0.96,False,False,False,False,False,False
8.0,74.8,97.3,16.1,36.91,1.07,False,False,False,False,False,False
9.0,71.6,97.4,17.1,36.88,1.0,False,False,False,False,False,False
10.0,76.5,96.9,15.3,36.69,0.97,False,False,False,False,False,False
11.0,75.0,97.6,16.2,36.74,1.05,False,False,False,False,False,False
12.0,74.3,98.0,16.6,36.69,0.97,False,False,False,False,False,False
13.0,73.3,96.9,15.1,36.96,1.11,False,False,False,False,False,False
14.0,74.2,96.9,15.6,36.79,1.08,False,False,False,False,False,False
15.0,76.6,96.2,15.6,36.85,1.01,False,False,False,False,False,False
16.0,72.4,97.2,15.0,36.67,0.98,False,False,False,False,False,False
17.0,75.2,96.9,15.8,36.92,0.98,False,False,False,False,False,False
18.0,74.3,97.1,16.0,36.7,1.0,False,False,False,False,False,False
19.0,75.1,97.7,15.4,36.92,1.06,False,False,False,False,False,False
20.0,77.2,97.0,16.9,36.76,0.99,False,False,False,False,False,False
21.0,76.4,95.0,16.7,36.89,1.02,False,False,False,False,False,False
22.0,74.9,96.5,17.2,36.94,0.97,False,False,False,False,False,False
23.0,75.6,95.7,17.4,36.76,1.04,False,False,False,False,False,False
24.0,78.3,94.6,18.5,36.77,0.96,False,False,False,False,False,False
25.0,77.7,95.1,17.5,36.72,1.01,False,False,False,False,False,False
26.0,74.2,95.3,17.9,36.91,0.96,False,False,False,False,False,False
27.0,79.1,94.8,17.0,36.87,0.98,False,False,False,False,False,False
28.0,80.1,94.7,19.2,36.73,1.04,False,False,False,False,False,False
29.0,79.5,94.6,18.8,36.63,1.06,False,False,False,False,False,False
30.0,79.6,93.4,19.4,36.63,1.01,False,False,False,False,False,False
31.0,81.0,92.5,19.8,36.76,1.13,False,False,False,False,False,False
32.0,82.5,92.7,19.9,36.66,1.01,False,False,False,False,False,False
33.0,86.6,92.2,21.4,36.74,1.0,False,False,False,False,False,False
34.0,81.1,90.5,20.3,36.88,1.07,False,False,False,False,False,False
35.0,82.2,91.6,20.1,37.01,0.98,False,False,False,False,False,False
36.0,80.2,89.9,21.1,36.73,0.96,False,True,False,False,False,False
37.0,85.7,90.9,20.9,36.58,1.04,False,False,False,False,False,False
38.0,84.6,90.3,21.8,36.79,0.98,False,False,False,False,False,False
39.0,83.5,89.5,22.6,36.6,1.07,False,True,False,False,False,False
40.0,86.8,89.4,23.0,36.71,1.03,False,True,False,False,False,False
